year,month,month_num,state,district,agro_zone,rainfall_mm,normal_mm,departure_mm,departure_pct,category,rainy_days_est
1901,Jan,1,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,45.1,23.6,21.5,90.9,Excess,5
1901,Feb,2,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,32.6,23.6,8.9,37.8,Excess,4
1901,Mar,3,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,84.8,47.2,37.5,79.4,Excess,10
1901,Apr,4,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,69.2,70.9,-1.7,-2.3,Normal,8
1901,May,5,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,175.4,118.1,57.3,48.5,Excess,21
1901,Jun,6,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,415.9,425.2,-9.3,-2.2,Normal,30
1901,Jul,7,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,1001.9,590.5,411.4,69.7,Excess,30
1901,Aug,8,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,1801.4,519.6,1281.8,246.7,Excess,30
1901,Sep,9,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,612.3,283.4,328.9,116.0,Excess,30
1901,Oct,10,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,203.1,165.3,37.8,22.8,Excess,25
1901,Nov,11,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,97.6,70.9,26.8,37.8,Excess,12
1901,Dec,12,Andhra Pradesh,Andhra Pradesh Central,Semi-Arid,29.6,23.6,5.9,25.2,Excess,3
1901,Jan,1,Arunachal Pradesh,Arunachal Pradesh Central,Humid,12.8,24.7,-11.9,-48.1,Deficient,1
1901,Feb,2,Arunachal Pradesh,Arunachal Pradesh Central,Humid,13.1,24.7,-11.6,-47.1,Deficient,1
1901,Mar,3,Arunachal Pradesh,Arunachal Pradesh Central,Humid,56.5,49.4,7.1,14.4,Normal,7
1901,Apr,4,Arunachal Pradesh,Arunachal Pradesh Central,Humid,56.8,74.0,-17.2,-23.3,Deficient,7
1901,May,5,Arunachal Pradesh,Arunachal Pradesh Central,Humid,96.2,123.4,-27.2,-22.1,Deficient,12
1901,Jun,6,Arunachal Pradesh,Arunachal Pradesh Central,Humid,393.7,444.2,-50.6,-11.4,Normal,30
1901,Jul,7,Arunachal Pradesh,Arunachal Pradesh Central,Humid,508.3,617.0,-108.7,-17.6,Normal,30
1901,Aug,8,Arunachal Pradesh,Arunachal Pradesh Central,Humid,546.2,543.0,3.3,0.6,Normal,30
1901,Sep,9,Arunachal Pradesh,Arunachal Pradesh Central,Humid,325.2,296.2,29.0,9.8,Normal,30
1901,Oct,10,Arunachal Pradesh,Arunachal Pradesh Central,Humid,138.9,172.8,-33.9,-19.6,Deficient,17
1901,Nov,11,Arunachal Pradesh,Arunachal Pradesh Central,Humid,23.8,74.0,-50.3,-67.9,Scanty,2
1901,Dec,12,Arunachal Pradesh,Arunachal Pradesh Central,Humid,15.9,24.7,-8.8,-35.6,Deficient,1
1901,Jan,1,Assam,Assam Central,Arid,11.9,11.8,0.0,0.3,Normal,1
1901,Feb,2,Assam,Assam Central,Arid,11.2,11.8,-0.6,-5.4,Normal,1
1901,Mar,3,Assam,Assam Central,Arid,53.0,23.7,29.3,124.0,Excess,6
1901,Apr,4,Assam,Assam Central,Arid,18.3,35.5,-17.2,-48.3,Deficient,2
1901,May,5,Assam,Assam Central,Arid,53.8,59.2,-5.3,-9.0,Normal,6
1901,Jun,6,Assam,Assam Central,Arid,105.3,212.9,-107.7,-50.6,Deficient,13
1901,Jul,7,Assam,Assam Central,Arid,263.8,295.8,-32.0,-10.8,Normal,30
1901,Aug,8,Assam,Assam Central,Arid,134.1,260.3,-126.2,-48.5,Deficient,16
1901,Sep,9,Assam,Assam Central,Arid,156.3,142.0,14.3,10.1,Normal,19
1901,Oct,10,Assam,Assam Central,Arid,44.5,82.8,-38.3,-46.2,Deficient,5
1901,Nov,11,Assam,Assam Central,Arid,39.2,35.5,3.7,10.3,Normal,4
1901,Dec,12,Assam,Assam Central,Arid,6.2,11.8,-5.6,-47.8,Deficient,0
1901,Jan,1,Bihar,Bihar Central,Humid,9.4,6.4,3.0,47.1,Excess,1
1901,Feb,2,Bihar,Bihar Central,Humid,8.1,6.4,1.7,26.5,Excess,1
1901,Mar,3,Bihar,Bihar Central,Humid,27.3,12.8,14.5,113.2,Excess,3
1901,Apr,4,Bihar,Bihar Central,Humid,21.5,19.2,2.3,12.0,Normal,2
1901,May,5,Bihar,Bihar Central,Humid,31.9,32.0,-0.1,-0.4,Normal,3
1901,Jun,6,Bihar,Bihar Central,Humid,206.8,115.2,91.6,79.5,Excess,25
1901,Jul,7,Bihar,Bihar Central,Humid,210.7,160.0,50.7,31.7,Excess,26
1901,Aug,8,Bihar,Bihar Central,Humid,99.9,140.8,-40.9,-29.0,Deficient,12
1901,Sep,9,Bihar,Bihar Central,Humid,72.7,76.8,-4.1,-5.3,Normal,9
1901,Oct,10,Bihar,Bihar Central,Humid,42.4,44.8,-2.4,-5.3,Normal,5
1901,Nov,11,Bihar,Bihar Central,Humid,21.7,19.2,2.5,13.1,Normal,2
1901,Dec,12,Bihar,Bihar Central,Humid,8.2,6.4,1.8,27.7,Excess,1
