date,year,month,station,state,zone,aqi,category,pm25_ugm3,pm10_ugm3,no2_ugm3,so2_ugm3,co_mgm3,o3_ugm3,dominant_pollutant
2015-01-01,2015,1,Mumbai,Maharashtra,West,175,Moderate,86.1,145.5,27.8,11.5,2.26,47.2,PM2.5
2015-01-02,2015,1,Mumbai,Maharashtra,West,161,Moderate,78.5,104.1,41.3,21.5,2.48,70.2,PM2.5
2015-01-03,2015,1,Mumbai,Maharashtra,West,119,Moderate,49.4,96.1,22.8,9.4,2.59,40.7,PM2.5
2015-01-04,2015,1,Mumbai,Maharashtra,West,121,Moderate,51.5,95.1,28.3,8.5,2.45,35.2,PM2.5
2015-01-05,2015,1,Mumbai,Maharashtra,West,115,Moderate,54.0,79.9,17.0,16.7,3.16,52.2,PM2.5
2015-01-06,2015,1,Mumbai,Maharashtra,West,113,Moderate,42.7,97.1,21.8,7.0,2.25,68.9,PM2.5
2015-01-07,2015,1,Mumbai,Maharashtra,West,200,Moderate,83.2,161.3,41.1,13.7,5.5,25.6,PM2.5
2015-01-08,2015,1,Mumbai,Maharashtra,West,157,Moderate,82.6,104.9,25.7,8.6,2.7,67.6,PM2.5
2015-01-09,2015,1,Mumbai,Maharashtra,West,79,Satisfactory,40.2,59.6,13.7,8.2,1.13,35.6,PM2.5
2015-01-10,2015,1,Mumbai,Maharashtra,West,181,Moderate,88.9,160.5,26.9,15.5,2.51,67.8,PM2.5
2015-01-11,2015,1,Mumbai,Maharashtra,West,164,Moderate,68.8,108.3,29.1,13.5,3.88,69.5,PM2.5
2015-01-12,2015,1,Mumbai,Maharashtra,West,201,Poor,89.4,136.3,45.3,25.3,4.22,55.9,PM2.5
2015-01-13,2015,1,Mumbai,Maharashtra,West,141,Moderate,64.0,109.5,20.2,8.6,1.76,81.3,PM2.5
2015-01-14,2015,1,Mumbai,Maharashtra,West,81,Satisfactory,36.6,75.4,13.8,7.4,1.95,70.8,PM2.5
2015-01-15,2015,1,Mumbai,Maharashtra,West,104,Moderate,54.8,93.5,22.5,14.3,2.59,40.0,PM2.5
2015-01-16,2015,1,Mumbai,Maharashtra,West,249,Poor,129.8,184.7,38.1,18.1,4.69,53.5,PM2.5
2015-01-17,2015,1,Mumbai,Maharashtra,West,162,Moderate,58.5,130.2,30.8,11.7,2.25,55.2,PM2.5
2015-01-18,2015,1,Mumbai,Maharashtra,West,172,Moderate,71.9,138.6,38.6,14.9,4.74,46.7,PM2.5
